
,,Price,Size,1cl,2cl,4cl
,Xanté,22.9,50,0.458,0.916,1.832,Alko
,Viru Valge 2c,11.8,100,0.118,0.236,0.472,Super
,Vilma Verigreippilikööri,6.85,50,0.137,0.274,0.548,Alko
,Southern Comfort ,12.27,50,0.2454,0.4908,0.9816,By Southern Comfort Company/Super
,Sourz Red Berries,13.98,70,0.19971428571429,0.39942857142857,0.79885714285714,Alko
xxx,Sourz Apple,13.98,70,0.19971428571429,0.39942857142857,0.79885714285714,Alko
,Sierra Tequila Silver,27.4,70,0.39142857142857,0.78285714285714,1.56571428571429,Alko
,Samaani Vanilla Liqour,4.77,20,0.2385,0.477,0.954,Alko
,Samaani Terva,10.36,50,0.2072,0.4144,0.8288,Alko
,Salmiakkikoskenkorva 31%,11.98,50,0.2396,0.4792,0.9584,Alko
,Roses Lime Cordial,,,#DIV/0!,#DIV/0!,#DIV/0!
,Roses Lemon Cordial,,,#DIV/0!,#DIV/0!,#DIV/0!
,Remedia Mustöstra,3.3,50,0.066,0.132,0.264,Super
,ReaLemon,,,#DIV/0!,#DIV/0!,#DIV/0!
,Pisang Ice Mint,9.55,50,0.191,0.382,0.764,Super
,Pisang Ambon,10.73,50,0.2146,0.4292,0.8584,Alko
,Pernod,16.98,50,0.3396,0.6792,1.3584,Alko
,Peach Tree,10.99,70,0.157,0.314,0.628,Super
,Passoa,16.99,70,0.24271428571429,0.48542857142857,0.97085714285714,Alko
,Parkers Whiskey,,,#DIV/0!,#DIV/0!,#DIV/0!
,Olmeca Tequila,25.1,100,0.251,0.502,1.004,Super
,Nannerl,,,#DIV/0!,#DIV/0!,#DIV/0!
,Monnin Grenadin,4.94,25,0.1976,0.3952,0.7904,Alko
,Sodastream 12 L,7.69,12,0.64083333333333,1.28166666666667,2.56333333333333,Citymarket Omena
,Malibu,13.5,50,0.27,0.54,1.08,Alko
,Limoncello Santa Marta,8.25,50,0.165,0.33,0.66,Super
,Larsen four star cognac,25.7,50,0.514,1.028,2.056,Super
,Lapponia Mustikka,11.78,50,0.2356,0.4712,0.9424,Alko
,Koskenkorvaminttu 35%,13.98,50,0.2796,0.5592,1.1184,Alko
,Kahlua,17.2,50,0.344,0.688,1.376,Alko
,Jägermeister,19.2,50,0.384,0.768,1.536,Alko
,Harveys Bristol Cream,15.98,75,0.21306666666667,0.42613333333333,0.85226666666667,Alko
,Glenfiddich 12yo,,,#DIV/0!,#DIV/0!,#DIV/0!
,Galliano,19.88,50,0.3976,0.7952,1.5904,Alko
,Doolies,10.55,35,0.30142857142857,0.60285714285714,1.20571428571429,Alko modified
,De Kuyper Raspberry Pucker,11.49,50,0.2298,0.4596,0.9192,Alko modified
,De Kuyper Melon,11.49,50,0.2298,0.4596,0.9192,Alko modified
,Cointreau,24.4,50,0.488,0.976,1.952,Alko
,Bolls Creme de Menthe,11.72,50,0.2344,0.4688,0.9376,Alko modified
,Bolls Creme de Cassis,11.72,50,0.2344,0.4688,0.9376,Alko modified
,Bolls Blue Curacao,11.72,50,0.2344,0.4688,0.9376,Alko modified
,Beefeater Gin,27.5,70,0.39285714285714,0.78571428571429,1.57142857142857,Alko
,Baileys,19.95,70,0.285,0.57,1.14,Alko
,Baccardi Superior,22.5,70,0.32142857142857,0.64285714285714,1.28571428571429,Alko modified
,Backardi Black,22.5,70,0.32142857142857,0.64285714285714,1.28571428571429,Alko
,Amarula,10.98,35,0.31371428571429,0.62742857142857,1.25485714285714,Alko
