"name","containerPrice","containerSize","store"
"Xant",22.9,50,"Alko"
"Viru Valge 2c",11.8,100,"Super"
"Vilma Verigreippilikri",6.85,50,"Alko"
"Southern Comfort ",12.27,50,"Super"
"Sourz Red Berries",13.98,70,"Alko"
"Sourz Apple",13.98,70,"Alko"
"Sierra Tequila Silver",27.4,70,"Alko"
"Samaani Vanilla Liqour",4.77,20,"Alko"
"Samaani Terva",10.36,50,"Alko"
"Salmiakkikoskenkorva 31%",11.98,50,"Alko"
"Roses Lime Cordial",,,""
"Roses Lemon Cordial",,,""
"Remedia Muststra",3.3,50,"Super"
"ReaLemon",,,""
"Pisang Ice Mint",9.55,50,"Super"
"Pisang Ambon",10.73,50,"Alko"
"Pernod",16.98,50,"Alko"
"Peach Tree",10.99,70,"Super"
"Passoa",16.99,70,"Alko"
"Parkers Whiskey",,,""
"Olmeca Tequila",25.1,100,"Super"
"Nannerl",,,""
"Monnin Grenadin",4.94,25,"Alko"
"Sodastream 12 L",7.69,12,"Citymarket Omena"
"Malibu",13.5,50,"Alko"
"Limoncello Santa Marta",8.25,50,"Super"
"Larsen four star cognac",25.7,50,"Super"
"Lapponia Mustikka",11.78,50,"Alko"
"Koskenkorvaminttu 35%",13.98,50,"Alko"
"Kahlua",17.2,50,"Alko"
"Jgermeister",19.2,50,"Alko"
"Harveys Bristol Cream",15.98,75,"Alko"
"Glenfiddich 12yo",,,""
"Galliano",19.88,50,"Alko"
"Doolies",10.55,35,"Alko modified"
"De Kuyper Raspberry Pucker",11.49,50,"Alko modified"
"De Kuyper Melon",11.49,50,"Alko modified"
"Cointreau",24.4,50,"Alko"
"Bolls Creme de Menthe",11.72,50,"Alko modified"
"Bolls Creme de Cassis",11.72,50,"Alko modified"
"Bolls Blue Curacao",11.72,50,"Alko modified"
"Beefeater Gin",27.5,70,"Alko"
"Baileys",19.95,70,"Alko"
"Baccardi Superior",22.5,70,"Alko modified"
"Backardi Black",22.5,70,"Alko"
"Amarula",10.98,35,"Alko"
